ID,Title,body,ux_smell,reasoning
3639,Migrate away from PerformanceTestCaseJunit4,"The performance tests in this repo extend PerformanceTestCaseJunit4.

@HeikoKlare did you already define or execute a migration strategy for these tests?",No UX,"Technical, test, API, or maintenance issue unrelated to UX."
2447,Failed to retrieve Microsoft Defender status: Process terminated with unexpected result: Not running,"<!-- Thank you for reporting this issue! -->
<!-- The following template is highly recommended to trigger an efficient course of actions: it's pretty suitable if you're not familiar with the project as it will guide you in sharing the most important information. If you're not comfortable with this template for your particular report, feel free to erase it and write your report from scratch -->

Let's make sure issue is not already fixed in latest builds first.

- [X] I verified I can reproduce this issue against [latest Integration Build of Eclipse SDK](https://download.eclipse.org/eclipse/downloads/)

## Steps to reproduce

Disable Windows defender completely, e.g. using https://www.sordum.org/9480/defender-control-v2-1/

`powershell -Command (Get-MpComputerStatus).AMRunningMode` then returns an additional status not documented by Microsoft: `Not running`.

https://github.com/eclipse-platform/eclipse.platform.ui/blob/54849021b21ba173e6008f44d294423017ea456a/bundles/org.eclipse.ui.workbench/Eclipse%20UI/org/eclipse/ui/internal/WindowsDefenderConfigurator.java#L325-L328

should be adjusted to include that.

I wonder: Maybe this method should be more graceful to unknown statuses, e.g. log them and return `false` instead of throwing an Exception.

## Here is some relevant log output

From `<workspace>/.metadata/.log`
```
org.eclipse.core.runtime.CoreException: Failed to retrieve Microsoft Defender status.
	at org.eclipse.ui.internal.WindowsDefenderConfigurator.isWindowsDefenderActive(WindowsDefenderConfigurator.java:331)
	at org.eclipse.ui.internal.WindowsDefenderConfigurator.runExclusionCheck(WindowsDefenderConfigurator.java:159)
	at org.eclipse.ui.internal.WindowsDefenderConfigurator.lambda$0(WindowsDefenderConfigurator.java:106)
	at org.eclipse.core.runtime.jobs.Job$2.run(Job.java:187)
	at org.eclipse.core.internal.jobs.Worker.run(Worker.java:63)
Caused by: java.io.IOException: Process terminated with unexpected result:
Not running
	at org.eclipse.ui.internal.WindowsDefenderConfigurator.isWindowsDefenderActive(WindowsDefenderConfigurator.java:328)
	... 4 more
```

## Tested under this environment:
* OS & version: Windows 11 Build 27729",Bug,"Describes an explicit error, bug, exception, or incorrect behavior."
2859,Restore activity support for keybindings,"We are facing an issue with bundle that contributes shortcuts (key bindings in Eclipse speak) to the workbench but by default is not enabled via ""activities"" and so not visible anywhere in Eclipse UI.

So **in theory**, no UI contributions from that plugin should be shown and active, but as of today the contributed bundle shortcuts are still active and can appear and the bound commands can be executed (and cause confusion).

This happens because activity support for key bindings was broken during e4 transition in 2010 and Eclipse 4.x happily processes key bindings from disabled activities.

The PR that reimplements activities support for key bindings: https://github.com/eclipse-platform/eclipse.platform.ui/pull/2801.",Poor discoverability,The UI gives weak clues for finding the feature.
942,link with editor is switched off after eclipse restart,"Dear support,

I'm facing with the following issue with 2023-06 on Macbook Pro M1.

I switch-on the function 'link with editor' it works fine, but it gets switched-off after eclipse has been restarted.

Best regards,
Sergio",No UX,"User-facing issue, but not clearly a UX smell under the given rules."
1171,[Dark Theme] Text.setMessage: Message text barely visible,"## Description
When in dark-theme, the message-string of a Text-widget is barely visible

## Reproducing
Using this code, create a Text-Widget.
```
searchBar = new Text(searchContainer, SWT.SINGLE);
searchBar.setMessage("" 🔎 Find""); //$NON-NLS-1$
```

In light mode: 
![grafik](https://github.com/eclipse-platform/eclipse.platform.ui/assets/16443184/dfdb8a79-299a-4d85-91a6-ff6449ca7c47)

In dark mode:
![grafik](https://github.com/eclipse-platform/eclipse.platform.ui/assets/16443184/fb0f7af4-3910-410d-949c-20a83f8f7967)


## Expected behaviour
I expect the input bar to clearly display the message-text in both themes. Additionally, the ""bounding box"" of the bar is not visible in dark mode - possibly subject to a second issue.

## System Information
Eclipse SDK

Version: 2023-12 (4.30)
Build id: I20230913-1800

## MISC
When I apply the `SWT.SEARCH`-stylebit, the background is more visible, also rendering the message-string visible.
![grafik](https://github.com/eclipse-platform/eclipse.platform.ui/assets/16443184/13c42441-ffc4-47a7-bda6-af61209cf00f)

",Poor accessibility,"Contrast, visibility, or assistive technology support is poor."
2709,"Breadcrumb performance issue: enabling Breadcrumb makes Java editor very slow to type, even after restarting Eclipse","## Steps to reproduce 
- Enable breadcrumb. Open a big Java file (10000+ lines). Try to edit the file, move the cursor around, feel the lag.
- Disable breadcrumb and notice the lag disappeared.

## Tested under this environment:
Eclipse IDE for Enterprise Java and Web Developers (includes Incubating components)
Version: 2024-12 (4.34.0)
Build id: 20241128-0757
OS: Windows 11

## Here is some relevant log output
From `<workspace>/.metadata/.log`
```
!SUBENTRY 1 org.eclipse.ui.monitoring 1 0 2025-01-15 17:21:30.556
!MESSAGE Sample at 17:21:29.997 (+0,646s)
Thread 'main' tid=1 (RUNNABLE)
!STACK 0
Stack Trace
	at lombok.eclipse.EclipseNode.traverse(EclipseNode.java:133)
	at lombok.eclipse.EclipseAST.traverseChildren(EclipseAST.java:231)
	at lombok.eclipse.EclipseNode.traverse(EclipseNode.java:79)
	at lombok.eclipse.EclipseAST.traverseChildren(EclipseAST.java:231)
	at lombok.eclipse.EclipseNode.traverse(EclipseNode.java:74)
	at lombok.eclipse.EclipseAST.traverseChildren(EclipseAST.java:231)
	at lombok.eclipse.EclipseNode.traverse(EclipseNode.java:69)
	at lombok.eclipse.EclipseAST.traverse(EclipseAST.java:224)
	at lombok.eclipse.TransformEclipseAST.go(TransformEclipseAST.java:226)
	at lombok.eclipse.TransformEclipseAST.transform(TransformEclipseAST.java:187)
	at java.base@23.0.1/java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(DirectMethodHandle$Holder)
	at java.base@23.0.1/java.lang.invoke.LambdaForm$MH/0x0000019759413c00.invoke(LambdaForm$MH)
	at java.base@23.0.1/java.lang.invoke.LambdaForm$MH/0x0000019758002400.invokeExact_MT(LambdaForm$MH)
	at java.base@23.0.1/jdk.internal.reflect.DirectMethodHandleAccessor.invokeImpl(DirectMethodHandleAccessor.java:155)
	at java.base@23.0.1/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103)
	at java.base@23.0.1/java.lang.reflect.Method.invoke(Method.java:580)
	at lombok.launch.PatchFixesHider$Util.invokeMethod(PatchFixesHider.java:146)
	at lombok.launch.PatchFixesHider$Transform.transform(PatchFixesHider.java:267)
	at org.eclipse.jdt.internal.compiler.parser.Parser.getMethodBodies(Parser.java:11446)
	at org.eclipse.jdt.internal.compiler.Compiler.process(Compiler.java:935)
	at org.eclipse.jdt.core.dom.CompilationUnitResolver.resolve(CompilationUnitResolver.java:1024)
	at org.eclipse.jdt.core.dom.CompilationUnitResolver.resolve(CompilationUnitResolver.java:728)
	at org.eclipse.jdt.core.dom.CompilationUnitResolver$ECJCompilationUnitResolver.resolve(CompilationUnitResolver.java:100)
	at org.eclipse.jdt.core.dom.ASTParser.createASTs(ASTParser.java:1004)
	at org.eclipse.jdt.apt.core.internal.env.BaseProcessorEnv.createASTs(BaseProcessorEnv.java:851)
	at org.eclipse.jdt.apt.core.internal.env.ReconcileEnv.openPipeline(ReconcileEnv.java:113)
	at org.eclipse.jdt.apt.core.internal.env.AbstractCompilationEnv.newReconcileEnv(AbstractCompilationEnv.java:98)
	at org.eclipse.jdt.apt.core.internal.APTDispatchRunnable.reconcile(APTDispatchRunnable.java:218)
	at org.eclipse.jdt.apt.core.internal.APTDispatchRunnable.runAPTDuringReconcile(APTDispatchRunnable.java:162)
	at org.eclipse.jdt.apt.core.internal.AptCompilationParticipant.reconcile(AptCompilationParticipant.java:271)
	at org.eclipse.jdt.internal.core.ReconcileWorkingCopyOperation$1.run(ReconcileWorkingCopyOperation.java:314)
	at org.eclipse.core.runtime.SafeRunner.run(SafeRunner.java:47)
	at org.eclipse.jdt.internal.core.ReconcileWorkingCopyOperation.notifyParticipants(ReconcileWorkingCopyOperation.java:299)
	at org.eclipse.jdt.internal.core.ReconcileWorkingCopyOperation.executeOperation(ReconcileWorkingCopyOperation.java:113)
	at org.eclipse.jdt.internal.core.JavaModelOperation.run(JavaModelOperation.java:751)
	at org.eclipse.jdt.internal.core.JavaModelOperation.runOperation(JavaModelOperation.java:816)
	at org.eclipse.jdt.internal.core.CompilationUnit.reconcile(CompilationUnit.java:1419)
	at org.eclipse.jdt.internal.core.CompilationUnit.reconcile(CompilationUnit.java:1378)
	at org.eclipse.jdt.internal.corext.util.JavaModelUtil.reconcile(JavaModelUtil.java:644)
	at org.eclipse.jdt.internal.ui.actions.SelectionConverter.getElementAtOffset(SelectionConverter.java:279)
	at org.eclipse.jdt.internal.ui.javaeditor.JavaEditorBreadcrumb.getCurrentInput(JavaEditorBreadcrumb.java:819)
	at org.eclipse.jdt.internal.ui.javaeditor.JavaEditorBreadcrumb.setInput(JavaEditorBreadcrumb.java:790)
	at org.eclipse.jdt.internal.ui.javaeditor.JavaEditor.setBreadcrumbInput(JavaEditor.java:2007)
	at org.eclipse.jdt.internal.ui.javaeditor.JavaEditor.selectionChanged(JavaEditor.java:2272)
	at org.eclipse.jdt.internal.ui.javaeditor.JavaEditor$EditorSelectionChangedListener.selectionChanged(JavaEditor.java:310)
	at org.eclipse.jface.text.TextViewer.firePostSelectionChanged(TextViewer.java:2725)
	at org.eclipse.jface.text.TextViewer.firePostSelectionChanged(TextViewer.java:2655)
	at org.eclipse.jface.text.TextViewer.postSelectionChanged(TextViewer.java:2638)
	at org.eclipse.jface.text.TextViewer$$Lambda/0x0000019758c74880.run(Unknown Source)
	at org.eclipse.jface.util.Throttler.lambda$0(Throttler.java:66)
	at org.eclipse.jface.util.Throttler$$Lambda/0x00000197585798d8.run(Unknown Source)
	at org.eclipse.jface.util.Throttler.lambda$1(Throttler.java:79)
	at org.eclipse.jface.util.Throttler$$Lambda/0x0000019758579b00.run(Unknown Source)
	at org.eclipse.swt.widgets.RunnableLock.run(RunnableLock.java:40)
	at org.eclipse.swt.widgets.Synchronizer.runAsyncMessages(Synchronizer.java:132)
	at org.eclipse.swt.widgets.Display.runAsyncMessages(Display.java:4177)
	at org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:3793)
	at org.eclipse.e4.ui.internal.workbench.swt.PartRenderingEngine$5.run(PartRenderingEngine.java:1151)
	at org.eclipse.core.databinding.observable.Realm.runWithDefault(Realm.java:339)
	at org.eclipse.e4.ui.internal.workbench.swt.PartRenderingEngine.run(PartRenderingEngine.java:1042)
	at org.eclipse.e4.ui.internal.workbench.E4Workbench.createAndRunUI(E4Workbench.java:153)
	at org.eclipse.ui.internal.Workbench.lambda$3(Workbench.java:663)
	at org.eclipse.ui.internal.Workbench$$Lambda/0x0000019758252598.run(Unknown Source)
	at org.eclipse.core.databinding.observable.Realm.runWithDefault(Realm.java:339)
	at org.eclipse.ui.internal.Workbench.createAndRunWorkbench(Workbench.java:570)
	at org.eclipse.ui.PlatformUI.createAndRunWorkbench(PlatformUI.java:173)
	at org.eclipse.ui.internal.ide.application.IDEApplication.start(IDEApplication.java:178)
	at org.eclipse.equinox.internal.app.EclipseAppHandle.run(EclipseAppHandle.java:208)
	at org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher.runApplication(EclipseAppLauncher.java:143)
	at org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher.start(EclipseAppLauncher.java:109)
	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:439)
	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:271)
	at java.base@23.0.1/java.lang.invoke.DirectMethodHandle$Holder.invokeStatic(DirectMethodHandle$Holder)
	at java.base@23.0.1/java.lang.invoke.LambdaForm$MH/0x000001975801a800.invoke(LambdaForm$MH)
	at java.base@23.0.1/java.lang.invoke.LambdaForm$MH/0x0000019758002400.invokeExact_MT(LambdaForm$MH)
	at java.base@23.0.1/jdk.internal.reflect.DirectMethodHandleAccessor.invokeImpl(DirectMethodHandleAccessor.java:155)
	at java.base@23.0.1/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103)
	at java.base@23.0.1/java.lang.reflect.Method.invoke(Method.java:580)
	at app//org.eclipse.equinox.launcher.Main.invokeFramework(Main.java:668)
	at app//org.eclipse.equinox.launcher.Main.basicRun(Main.java:605)
	at app//org.eclipse.equinox.launcher.Main.run(Main.java:1481)
```
",Bug,Describes incorrect system behavior rather than a UX smell.
3545,`Dialog.shortenText` performs badly with huge inputs,"Let's make sure issue is not already fixed in latest builds first.

- [x] I verified I can reproduce this issue against [latest Integration Build of Eclipse SDK](https://download.eclipse.org/eclipse/downloads/)

## Steps to reproduce

1. Make sure the Progress view open
2. Start a Job that produces an enormous error message, e.g.,
```java
final Job j = new Job(""test"") {

    @Override
    protected IStatus run(final IProgressMonitor monitor) {
        return Status.error(""There was an Error\n"".repeat(2000000));
    }
};
j.schedule();
```
3. The application freezes, because `Dialog.shortenText` is trying to reduce this large error message down to a string which can be displayed.

Excerpt from main-Thread Stack:
```
OS.DrawText(long, char[], int, RECT, int) line: not available [native method]	
GC.textExtentInPixels(String, int) line: 5832	
GC.textExtent(String) line: 5773	
Dialog.shortenText(String, Control) line: 361	
ProgressInfoItem.updateText(String, Link) line: 812	
ProgressInfoItem.setLinkText(Job, String, int) line: 741	
ProgressInfoItem.refresh() line: 528	
ProgressInfoItem.createChildren() line: 271	
ProgressInfoItem.<init>(Composite, int, JobTreeElement) line: 197	
DetailedProgressViewer.createNewItem(JobTreeElement) line: 220	
DetailedProgressViewer.reorderControls(Object[]) line: 481	
DetailedProgressViewer.updateItems(Set<JobTreeElement>) line: 189	
DetailedProgressViewer.add(JobTreeElement...) line: 173	
DetailedProgressViewer.internalRefresh(Object) line: 367	
DetailedProgressViewer(StructuredViewer).internalRefresh(Object, boolean) line: 1249	
DetailedProgressViewer(StructuredViewer).lambda$3(Object, boolean) line: 1485	
Lambda.run() line: not available	
DetailedProgressViewer(StructuredViewer).preservingSelection(Runnable, boolean) line: 1391	
DetailedProgressViewer(StructuredViewer).preservingSelection(Runnable) line: 1352	
DetailedProgressViewer(StructuredViewer).refresh(Object, boolean) line: 1485	
ProgressViewerContentProvider.refresh(JobTreeElement...) line: 75	
ProgressViewUpdater.update() line: 299
[...]
```

Possible fixes for Dialog.shortenText:
- Add a hard limit to the length of the input String at which point we don't even try to shorten the string
- Perform some kind of binary-search when trying to determine `start` and `end` instead of moving each limit by 1 in each iteration of the for loop.

Relevant code:
https://github.com/eclipse-platform/eclipse.platform.ui/blob/343fd57b98addd612e285e10c70be340e784d0b0/bundles/org.eclipse.jface/src/org/eclipse/jface/dialogs/Dialog.java#L357-L386",Bug,"Describes an explicit error, bug, exception, or incorrect behavior."
2293,Find/Replace Overlay: intuitive key to enter replace field,"currently TAB cycles through all the search options
and  SHIFT-TAB cycles through all the replace options

I just want to TAB to go to `replace` as it was in old replace dialog
I found i could use - CTRL+R but that is unintuitive for a very common usecase",Feature request,Requests new functionality or a new UX capability.
3200,Split editors does not create any additional org.eclipse.e4.ui.model.application.impl.ApplicationElementImpl.tags,"based on https://github.com/eclipse-platform/eclipse.platform.ui/pull/3197#issuecomment-3197077497

The generated split editors does not have its appropriate tag values 

Normal editor
<img width=""397"" height=""134"" alt=""image"" src=""https://github.com/user-attachments/assets/2df31863-4488-4945-bed5-954f7fe0e171"" />

Split editor
<img width=""641"" height=""255"" alt=""image"" src=""https://github.com/user-attachments/assets/0a243454-2096-4b54-b97f-eb0e5b65e8d3"" />



",Bug,Describes incorrect UI behavior rather than a smell pattern.
2500,Color's and Fonts Preference Page Not Correctly Resetting Default values when switching form dark to light theme,"<!-- Thank you for reporting this issue! -->
<!-- The following template is highly recommended to trigger an efficient course of actions: it's pretty suitable if you're not familiar with the project as it will guide you in sharing the most important information. If you're not comfortable with this template for your particular report, feel free to erase it and write your report from scratch -->

Let's make sure issue is not already fixed in latest builds first.

- [x] I verified I can reproduce this issue against [latest Integration Build of Eclipse SDK](https://download.eclipse.org/eclipse/downloads/)

## Steps to reproduce

From a fresh installation and clean workspace:

- In “Dark” theme set a user defined color value.
- Press “Apply”.
- Change theme to “Light”.
- Press “Apply” but don’t restart.

I expected: 

Color value is not the correct default value from the light theme.

But got: 

User defined value still there. Re-opening the preference dialog or restarting the IDE does not change this.

Put pressing ""Reset"" does the trick.

## Tested under this environment:
* OS & version: macOS

## Community

- [x] I understand reporting an issue to this OSS project does not mandate anyone to fix it. Other contributors may consider the issue, or not, at their own convenience. The most efficient way to get it fixed is that I fix it myself and contribute it back as a good quality patch to the project.


I found this be testing #2421.
See: https://github.com/eclipse-platform/eclipse.platform.ui/pull/2421#issuecomment-2459459102
",Bug,Describes incorrect system behavior rather than a UX smell.
2654,FindReplaceOverlay/FindReplaceDialog: StringIndexOutOfBoundsException in SearchDecoration,"
found in error.log:
```
eclipse.buildId=4.35.0.I20241230-1800
java.version=22.0.2
java.vendor=Eclipse Adoptium
BootLoader constants: OS=win32, ARCH=x86_64, WS=win32, NL=de_DE
Command-line arguments:  -os win32 -ws win32 -arch x86_64 -data file:/C:/Users/jkubitz/platform-2025-01-02/ws/

org.eclipse.ui
Error
Thu Jan 02 12:13:45 CET 2025
Unhandled event loop exception

java.lang.StringIndexOutOfBoundsException: Range [0, 3) out of bounds for length 2
	at java.base/jdk.internal.util.Preconditions$1.apply(Preconditions.java:55)
	at java.base/jdk.internal.util.Preconditions$1.apply(Preconditions.java:52)
	at java.base/jdk.internal.util.Preconditions$4.apply(Preconditions.java:213)
	at java.base/jdk.internal.util.Preconditions$4.apply(Preconditions.java:210)
	at java.base/jdk.internal.util.Preconditions.outOfBounds(Preconditions.java:98)
	at java.base/jdk.internal.util.Preconditions.outOfBoundsCheckFromToIndex(Preconditions.java:112)
	at java.base/jdk.internal.util.Preconditions.checkFromToIndex(Preconditions.java:349)
	at java.base/java.lang.String.checkBoundsBeginEnd(String.java:4914)
	at java.base/java.lang.String.substring(String.java:2876)
	at org.eclipse.ui.internal.SearchDecoration.buildValidationErrorString(SearchDecoration.java:92)
	at org.eclipse.ui.internal.SearchDecoration.getValidationError(SearchDecoration.java:71)
	at org.eclipse.ui.internal.SearchDecoration.validateRegex(SearchDecoration.java:46)
	at org.eclipse.ui.internal.findandreplace.overlay.FindReplaceOverlay.decorate(FindReplaceOverlay.java:1067)
	at org.eclipse.ui.internal.findandreplace.overlay.FindReplaceOverlay.lambda$20(FindReplaceOverlay.java:724)
	at org.eclipse.swt.widgets.TypedListener.handleEvent(TypedListener.java:217)
	at org.eclipse.swt.widgets.EventTable.sendEvent(EventTable.java:91)
	at org.eclipse.swt.widgets.Display.sendEvent(Display.java:4311)
	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:1208)
	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:1232)
	at org.eclipse.swt.widgets.Widget.sendEvent(Widget.java:1213)
	at org.eclipse.swt.widgets.Text.wmCommandChild(Text.java:3077)
	at org.eclipse.swt.widgets.Control.WM_COMMAND(Control.java:4915)
	at org.eclipse.swt.widgets.Control.windowProc(Control.java:4766)
	at org.eclipse.swt.widgets.Display.windowProc(Display.java:5079)
	at org.eclipse.swt.internal.win32.OS.CallWindowProc(Native Method)
	at org.eclipse.swt.widgets.Text.callWindowProc(Text.java:296)
	at org.eclipse.swt.widgets.Control.windowProc(Control.java:4865)
	at org.eclipse.swt.widgets.Text.windowProc(Text.java:2655)
	at org.eclipse.swt.widgets.Display.windowProc(Display.java:5079)
	at org.eclipse.swt.internal.win32.OS.DispatchMessage(Native Method)
	at org.eclipse.swt.widgets.Display.readAndDispatch(Display.java:3695)
	at org.eclipse.e4.ui.internal.workbench.swt.PartRenderingEngine$5.run(PartRenderingEngine.java:1151)
	at org.eclipse.core.databinding.observable.Realm.runWithDefault(Realm.java:339)
	at org.eclipse.e4.ui.internal.workbench.swt.PartRenderingEngine.run(PartRenderingEngine.java:1042)
	at org.eclipse.e4.ui.internal.workbench.E4Workbench.createAndRunUI(E4Workbench.java:153)
	at org.eclipse.ui.internal.Workbench.lambda$3(Workbench.java:663)
	at org.eclipse.core.databinding.observable.Realm.runWithDefault(Realm.java:339)
	at org.eclipse.ui.internal.Workbench.createAndRunWorkbench(Workbench.java:570)
	at org.eclipse.ui.PlatformUI.createAndRunWorkbench(PlatformUI.java:173)
	at org.eclipse.ui.internal.ide.application.IDEApplication.start(IDEApplication.java:178)
	at org.eclipse.equinox.internal.app.EclipseAppHandle.run(EclipseAppHandle.java:208)
	at org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher.runApplication(EclipseAppLauncher.java:143)
	at org.eclipse.core.runtime.internal.adaptor.EclipseAppLauncher.start(EclipseAppLauncher.java:109)
	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:439)
	at org.eclipse.core.runtime.adaptor.EclipseStarter.run(EclipseStarter.java:271)
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103)
	at java.base/java.lang.reflect.Method.invoke(Method.java:580)
	at org.eclipse.equinox.launcher.Main.invokeFramework(Main.java:668)
	at org.eclipse.equinox.launcher.Main.basicRun(Main.java:605)
	at org.eclipse.equinox.launcher.Main.run(Main.java:1481)
```

most likely regression from recent 2c59dfb66bf65fa04740f8b96fe68175920eaa09 in stacktrace @jannisCode @fedejeanne ",Bug,"Describes an explicit error, bug, exception, or incorrect behavior."
2522,Enable theming preference check box is not working as expected and forces to restart twice,"<!-- Thank you for reporting this issue! -->
<!-- The following template is highly recommended to trigger an efficient course of actions: it's pretty suitable if you're not familiar with the project as it will guide you in sharing the most important information. If you're not comfortable with this template for your particular report, feel free to erase it and write your report from scratch -->

Let's make sure issue is not already fixed in latest builds first.

- [X] I verified I can reproduce this issue against [latest Integration Build of Eclipse SDK](https://download.eclipse.org/eclipse/downloads/)

## Steps to reproduce

From a fresh installation and clean workspace:

Install the setup of 'platform ui' by dragging the setup link in the banner of the installer : see [Setting your environment](https://github.com/eclipse-ide/.github/blob/main/CONTRIBUTING.md) and [projects guide](https://github.com/eclipse-ide/.github/blob/main/projects.md)

Open the preference dialog and filter on 'theme'. Disable theming if there is one selected by unchecking the 'Enable Theming' checkbox and restart. Eclipse restarts without any theme. 

Then reopen the preference dialog and filter on 'theme' then check the 'Enable theming' check box again and click Apply. 

Eclipse will ask to restart, while no Theme has been yet selected.. and no theme has been proposed.  The possible themes will appear after the restart and will be applicable, but we will have to restart again... this is not straightforward and totally counterintuitive.

Actually, when the 'Enable theming' is selected, it must display the themes and then propose to select one and restart when it is applied (even if the theme was not changed in the combo). 

This is the current situation when we switch from 'Enable theming' unchecked to checked:

| What we have  (unchecked to checked)          | What we expect       |
|-----------------------|----------------------|
| ![image](https://github.com/user-attachments/assets/40f87447-7c83-4452-88dc-44fca82cc5c2) |![image](https://github.com/user-attachments/assets/1cf8937e-45a9-4a22-8b8a-4439adc41099) |


On the other hand, if we unchecked the theme while it was checked, the list of themes should be hidden: 

| What we have (checked to unchecked)         | What we expect       |
|-----------------------|----------------------|
| ![image](https://github.com/user-attachments/assets/b91bfe62-c3be-4acd-8c3a-62eb746fcfd2) |![image](https://github.com/user-attachments/assets/6709f588-2ae6-4fec-b28b-aa0b427abb2d)
 |


The Plugin Spy (Alt Shift F1), launched when the preference page is displayed says that this preference page is managed by the ViewsPreferencePage in the org.eclipse.ui.workbench plugin : 

![image](https://github.com/user-attachments/assets/201cae26-7b06-427a-868f-e615c17d5420)

A change event listener could be added on the preference checkbox editor so as to react on the change and display or not the bloc of theme list. 

## Tested under this environment:
* OS & version: macOS X 15.1 (sequoia).
* Eclipse IDE/Platform version (as shown in Help > About): Version: 2024-12 (4.34) Build id: I20241117-1800 (got from the platform.ui current setup)

## Community

- [X] I understand reporting an issue to this OSS project does not mandate anyone to fix it. Other contributors may consider the issue, or not, at their own convenience. The most efficient way to get it fixed is that I fix it myself and contribute it back as a good quality patch to the project.
",Poor discoverability,The UI gives weak clues for finding the feature.
2978,IWorkbenchPage.getViewReferences() loses views,"# Test steps

Add the following test in `org.eclipse.ui.tests/Eclipse UI Tests/org/eclipse/ui/tests/api/IWorkbenchPageTest.java` and execute.
```java
@Test
public void testReportNonPerspectiveViews() throws Throwable {
	IViewPart part = fActivePage.showView(""org.eclipse.ui.internal.introview"");
	assertTrue(fActivePage.isPartVisible(part));
	fActivePage.closeAllPerspectives(false, false);
	assertTrue(fActivePage.isPartVisible(part)); // The view is still visible, because it is one of strange ""outside of perspective"" views
	assertTrue(fActivePage.getViewReferences().length > 0); // The view is visible on a page, so page should know about it. This line fails.
}
```

# Expected result
The test passes

# Actual result
Last line fails.

Affects Y20250513-1000 beb2de006dc1817774277dc23a13701f9ac4fb94

# Workaround
- Open a dummy perspective
- Collect all views in a list
- Close the perspective
- Remove all closed/invisible views from the list
- Use resulting list

# Additional note
```java
assertTrue(Arrays.stream(fActivePage.getViewReferences()).map(IViewReference::getId)
				.anyMatch(Predicate.isEqual(""org.eclipse.ui.internal.introview"")));
```
passes immediately before `closeAllPerspectives` indicating, that page recognizes and owns the view normally.
",General UI Inconsistency,Visual or behavioral inconsistency not covered by narrower smells.
2012,Find/Replace overlay: Search text not selected when switching to open overlay,"Let's make sure issue is not already fixed in latest builds first.

- [x] I verified I can reproduce this issue against [latest Integration Build of Eclipse SDK](https://download.eclipse.org/eclipse/downloads/)

## Steps to reproduce
If the search overlay is already open and I switch the cursor focus from the Editor back to the overlay using Ctrl+F the curer is placed in the beginning of the search text field. But if the text field is not empty, because it either contains the text of a preavuius Search or because the text selected in the editor when pressing Ctrl+F was added, then it would be often convenient if the entire text in the search field were full selected.
If the overlay is closed and opened with an initial search text (i.e. the text selected in the Editor while pressing Ctrl+F), then the behavior is already as desired and the search text is completely selected.

## Community

- [x] I understand reporting an issue to this OSS project does not mandate anyone to fix it. Other contributors may consider the issue, or not, at their own convenience. The most efficient way to get it fixed is that I fix it myself and contribute it back as a good quality patch to the project.",No UX,"Technical, test, API, or maintenance issue unrelated to UX."
